Description,NES,p.adjust,cell_type,negLog_padjust
GOCC CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,-1.7668344332176782,0.04084917077409565,B cells,1.3888167550896986
GOCC MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,-2.6021602629514593,2.3639280701054583e-7,Neutrophils,6.626365742355734
GOCC INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,-2.588665414579441,6.034614175933018e-7,Neutrophils,6.219350491369397
GOCC RESPIRASOME,-2.6149273221865865,9.702064455187874e-7,Neutrophils,6.013135844486348
GOCC OXIDOREDUCTASE COMPLEX,-2.473829786230472,1.543417072945478e-5,Neutrophils,4.811516699987969
GOCC TRANSPORTER COMPLEX,-2.298061429896138,5.587005803233059e-4,Neutrophils,3.2528208775371352
GOCC MEMBRANE PROTEIN COMPLEX,-1.829047029182325,0.003820858396670311,Neutrophils,2.417839057230266
GOCC RIBOSOMAL SUBUNIT,-1.9470450805250368,0.005518131809467123,Neutrophils,2.2582079299096525
GOCC ORGANELLE INNER MEMBRANE,-1.931958549616302,0.005833033698857436,Neutrophils,2.234105514537659
GOCC CYTOSOLIC RIBOSOME,-1.9186486129688354,0.019474352160417395,Neutrophils,1.710536980784313
GOCC RIBOSOME,-1.8150651879964943,0.04453321546756601,Neutrophils,1.351315946022952
