cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.2,Week0,ECenrichment_genes_circu,1.1942296420223048e-6,-0.041820654807922374,-0.3504680304812907,6.824169382984599e-6,5.1659502020658286,neg_sig
EC1.1,Week0,ECenrichment_genes_circu,8.197046524798572e-6,-0.030870371133369195,-0.2562979330761825,4.098523262399286e-5,4.3873725956016445,neg_sig
EC1.3,Week0,ECenrichment_genes_circu,1,-0.0031707179542561498,-0.02461049379452355,1,-0,not_sig
EC3,Week0,ECenrichment_genes_circu,0.6081064810068622,0.0247416293471604,0.17231264832819193,0.720497782933475,0.14236735122922747,not_sig
EC2,Week0,ECenrichment_genes_circu,0.006685414113268345,0.08578806227892777,0.5760472034637348,0.022284713710894483,1.651992940872281,pos_sig
