cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.3,Week0,Inflam_thrombogenesis,0.007865997224658552,-0.2518628446777256,-0.8568481585129706,0.03013159043247027,1.5209779444030995,significant
EC1.2,Week0,Inflam_thrombogenesis,5.050251745800493e-8,-0.106507987377824,-0.4073724743357467,4.439304204048568e-7,6.352685093854338,significant
EC3,Week0,Inflam_thrombogenesis,0.4542934952088263,-0.02986952157903877,-0.19140868279476056,0.6309631877900365,0.19999597800787597,not significant
EC1.1,Week0,Inflam_thrombogenesis,0.008436845321091676,-0.022861871801697048,-0.13103479940461496,0.03013159043247027,1.5209779444030995,significant
EC2,Week0,Inflam_thrombogenesis,0.43968380260557166,-0.021692161142417177,-0.12987858399249483,0.6309631877900365,0.19999597800787597,not significant
