cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC2,Week12,ECenrichment_genes_cytokine,0.17911131850692477,-0.039413399284348616,-0.2706527737092814,0.29851886417820794,0.5250282194771921,not_sig
EC1.1,Week12,ECenrichment_genes_cytokine,0.029590250751182382,0.01713366218498258,0.17517873305422899,0.07019407827376369,1.1536995243588688,not_sig
EC1.2,Week12,ECenrichment_genes_cytokine,3.004990745955643e-5,0.0760207673221725,0.3180410171300168,6.009981491911286e-4,3.221126865430401,pos_sig
EC1.3,Week12,ECenrichment_genes_cytokine,4.0872039583112835e-4,0.1394932882198056,0.5229516988842929,0.0028748625026973696,2.54138292166923,pos_sig
EC3,Week12,ECenrichment_genes_cytokine,0.03109502527427414,0.08865246024435713,0.5707272615380653,0.07019407827376369,1.1536995243588688,not_sig
