cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC2,Week12,ECenrichment_genes_immuneprocess,0.03158733522319366,-0.06413254710669189,-0.34770472827967325,0.07019407827376369,1.1536995243588688,not_sig
EC1.1,Week12,ECenrichment_genes_immuneprocess,0.6727913005066417,6.147563634121278e-4,0.004669746757152357,0.7252151448488714,0.13953313500176934,not_sig
EC1.2,Week12,ECenrichment_genes_immuneprocess,0.07041175665004862,0.028344951044931177,0.14897573558370752,0.12851814462626107,0.8910355528403533,not_sig
EC3,Week12,ECenrichment_genes_immuneprocess,0.11613248027961738,0.06712913094212156,0.40846326978951564,0.2019695309210737,0.6947141431817236,not_sig
EC1.3,Week12,ECenrichment_genes_immuneprocess,1.6226859750472403e-4,0.1348874762588409,0.5946241606068076,0.0016226859750472402,2.789765517450102,pos_sig
