"","cluster","size","model.pvalue","timeWeek12.OR","timeWeek12.OR.95pct.ci.lower","timeWeek12.OR.95pct.ci.upper"
"clusterB_cells","clusterB_cells",249,0.0710216617341033,0.789509651623257,0.610169207371961,1.02156169546966
"clusterECs","clusterECs",2118,3.12788244207847e-13,0.67826139632826,0.610930382560649,0.753013002596071
"clusterFibroblasts","clusterFibroblasts",10512,4.25680331206384e-38,1.86109214133616,1.69072931720323,2.04862122120928
"clusterMacrophages","clusterMacrophages",9217,0.0014055713346873,1.13759043432252,1.0511081558204,1.23118823604982
"clusterNeutrophils","clusterNeutrophils",196,2.69296192209815e-08,3.17221255452049,2.05303104555717,4.90150040002266
"clusterT_cells","clusterT_cells",649,2.17841503582454e-11,1.75108016687414,1.48132973293416,2.06995220756583
"clusterVSMCs","clusterVSMCs",2802,1.53216729929892e-81,0.343694327758122,0.306639152893817,0.385227358666792
