"","cluster","size","model.pvalue","genotypeWT.OR","genotypeWT.OR.95pct.ci.lower","genotypeWT.OR.95pct.ci.upper","genotypeHet.OR"
"clusterEC1.1","clusterEC1.1",841,0.0353393270586812,1.52791967366513,1.02939994479102,2.2678634684082,0.654484667771329
"clusterEC1.2","clusterEC1.2",815,6.23254814433057e-21,0.263147137316436,0.197185381542397,0.351174186119604,3.80015534350083
"clusterEC1.3","clusterEC1.3",209,2.99159705294535e-08,3.37821042719985,2.17434579607145,5.24861579563898,0.29601471594204
"clusterEC2","clusterEC2",90,0.112345757577741,1.43697447281831,0.916997977161966,2.25179955349753,0.695906586314452
"clusterEC3","clusterEC3",90,0.0763806078988609,0.667126792062583,0.425266168528828,1.04654023673539,1.49896543190577
