"","cluster","size","model.pvalue","genotypeWT.OR","genotypeWT.OR.95pct.ci.lower","genotypeWT.OR.95pct.ci.upper","genotypeHet.OR"
"clusterB_cells","clusterB_cells",244,0.00608593717016854,0.700078380186507,0.541922341097169,0.904391093034276,1.42841148691607
"clusterECs","clusterECs",2048,0.00223630630597943,0.851037119567393,0.767406238840697,0.943781979119291,1.17503687795466
"clusterFibroblasts","clusterFibroblasts",9250,0.000993208348492611,1.17789804984139,1.06811825503669,1.29896086812269,0.848969908842837
"clusterMacrophages","clusterMacrophages",9689,0.00079986753157105,1.15220824902775,1.06918543083469,1.24167783327459,0.867898664016522
"clusterNeutrophils","clusterNeutrophils",304,0.0624699893093202,1.28681790875797,0.986553162229768,1.67847045014547,0.777110726540319
"clusterT_cells","clusterT_cells",836,0.291118973241251,0.927026849967981,0.805419345409683,1.06699545455346,1.07871740719758
"clusterVSMCs","clusterVSMCs",1475,9.00300734441539e-06,0.7571764406344,0.669385456229865,0.85648135452603,1.32069613677117
