"","cluster","size","model.pvalue","genotypeWT.OR","genotypeWT.OR.95pct.ci.lower","genotypeWT.OR.95pct.ci.upper","genotypeHet.OR"
"clusterEC1.1","clusterEC1.1",1426,0.737715087825341,1.0803867032949,0.687522703798242,1.69774092143864,0.925594508846007
"clusterEC1.2","clusterEC1.2",697,1.74251554490459e-09,3.43756168976027,2.30256788798382,5.13202257035497,0.29090387031563
"clusterEC1.3","clusterEC1.3",39,0.111827335224122,1.81716012944945,0.857863481129625,3.84917997874514,0.550309234609375
"clusterEC2","clusterEC2",120,8.36956175411183e-05,0.424856817625578,0.272315185543594,0.662847042931573,2.35373414880985
"clusterEC3","clusterEC3",95,4.84934238298641e-06,2.8529352928466,1.80760237889648,4.50278218273792,0.350516186787476
