"","cluster","size","model.pvalue","timeWeek12.OR","timeWeek12.OR.95pct.ci.lower","timeWeek12.OR.95pct.ci.upper"
"clusterEC1.1","clusterEC1.1",1106,0.000321704203393368,0.465997161048814,0.305622822635117,0.710527284033412
"clusterEC1.2","clusterEC1.2",677,1.21837769801616e-05,0.432351276538349,0.304274647924735,0.614338485310081
"clusterEC1.3","clusterEC1.3",154,2.17820024512059e-13,6.44327405372328,3.777980772849,10.9888808407239
"clusterEC2","clusterEC2",81,0.0225773146216158,1.74666709894667,1.07650630193512,2.83402516925223
"clusterEC3","clusterEC3",97,0.0503840413070308,0.649433301667029,0.420263446784716,1.00356958603204
