"","cluster","size","model.pvalue","genotypeWT.OR","genotypeWT.OR.95pct.ci.lower","genotypeWT.OR.95pct.ci.upper","genotypeHet.OR"
"clusterB_cells","clusterB_cells",289,0.980112784280905,0.996961163296805,0.784803028520009,1.26647263708511,1.00304809937946
"clusterECs","clusterECs",2378,1.97311019933787e-51,2.2346758310019,2.0103753895241,2.48400179174804,0.447492198253944
"clusterFibroblasts","clusterFibroblasts",11093,1.3855819244405e-22,0.655648076267889,0.601987227463144,0.714092227048291,1.52520847112409
"clusterMacrophages","clusterMacrophages",9478,0.00325273126989091,0.888249111550099,0.820964160768515,0.961048632660116,1.12581030140844
"clusterNeutrophils","clusterNeutrophils",122,1.77435133655772e-05,0.355245211880405,0.217943764770832,0.579044602155295,2.81495701154349
"clusterT_cells","clusterT_cells",403,0.00354054644618269,1.34912182345468,1.10246661914688,1.65096127439226,0.741222907090267
"clusterVSMCs","clusterVSMCs",3699,5.1353901779799e-17,1.47949689391567,1.34930352129905,1.62225253588513,0.675905440634875
