Description,NES,p.adjust,cell_type,negLog_padjust
GOMF MOLECULAR TRANSDUCER ACTIVITY,2.459086244441589,2.2400000000000002e-8,EC,7.649751981665837
GOMF IMMUNE RECEPTOR ACTIVITY,2.646511441037627,1.3779729612896973e-7,EC,6.860759304110461
GOMF EXTRACELLULAR MATRIX STRUCTURAL CONSTITUENT,-3.090534628438876,8.944568597260022e-7,EC,6.048440600915225
GOMF STRUCTURAL MOLECULE ACTIVITY,-2.2169399243212786,1.4487515281378212e-4,EC,3.8390060929358727
GOMF CHEMOKINE RECEPTOR BINDING,2.3062229940207715,2.4993753101296796e-4,EC,3.602168524633891
GOMF G PROTEIN COUPLED RECEPTOR ACTIVITY,2.2583153847946886,3.935557480501885e-4,EC,3.4049937401645947
GOMF ANTIGEN BINDING,2.1849826083762345,0.002377112170918974,EC,2.623950324345973
GOMF AMYLOID BETA BINDING,2.1575841767912527,0.002377112170918974,EC,2.623950324345973
GOMF MOLECULAR FUNCTION REGULATOR,1.5792622531335188,0.0027710423571843603,EC,2.5573568356934655
GOMF NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,1.857305269191298,0.003929095307277281,EC,2.4057074364662308
GOMF G PROTEIN COUPLED RECEPTOR BINDING,2.004587723717203,0.004471266830128414,EC,2.3495694121282646
GOMF ENZYME ACTIVATOR ACTIVITY,1.8135472787189795,0.004471266830128414,EC,2.3495694121282646
GOMF CARGO RECEPTOR ACTIVITY,2.0273678870882588,0.008737454269851213,EC,2.0586150842537867
GOMF SIGNALING RECEPTOR REGULATOR ACTIVITY,1.9193588445136653,0.008737454269851213,EC,2.0586150842537867
GOMF ENZYME REGULATOR ACTIVITY,1.543749140196886,0.008737454269851213,EC,2.0586150842537867
GOMF ISOMERASE ACTIVITY,-2.0675445941826145,0.009437288573274463,EC,2.0251527648979897
GOMF CELL ADHESION MOLECULE BINDING,-1.6110857305693596,0.015133225130544804,EC,1.8200685070635705
GOMF CYTOKINE ACTIVITY,1.9817825398887767,0.015501494246960219,EC,1.8096264365438124
GOMF EXOGENOUS PROTEIN BINDING,1.9309353354234178,0.01628601088857311,EC,1.7881852791805612
GOMF CELL ADHESION MEDIATOR ACTIVITY,-2.1312330937688766,0.018093870408261763,EC,1.7424685245077907
GOMF SIGNALING RECEPTOR BINDING,1.4845545110067517,0.035498201867169774,EC,1.449793645225018
GOMF INTEGRIN BINDING,-1.8682312288741303,0.03598179560591278,EC,1.4439171677753069
GOMF HYDROLASE ACTIVITY ACTING ON GLYCOSYL BONDS,1.8280958708242443,0.03598179560591278,EC,1.4439171677753069
GOMF GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,1.7519915278294464,0.03598179560591278,EC,1.4439171677753069
GOMF SIGNALING RECEPTOR BINDING,-2.1282116069934776,0.020146415668105766,VSMC,1.695802209772513
GOMF STRUCTURAL CONSTITUENT OF RIBOSOME,3.0063219767969662,9.521174118386495e-6,Macrophage,5.021309492613982
GOMF STRUCTURAL MOLECULE ACTIVITY,2.774534948719048,3.446932985885722e-5,Macrophage,4.462567159917539
GOMF OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,2.3481068319148144,0.005169708586511647,Macrophage,2.2865339371453057
GOMF ELECTRON TRANSFER ACTIVITY,2.2892495749933452,0.005169708586511647,Macrophage,2.2865339371453057
GOMF MOLECULAR TRANSDUCER ACTIVITY,-2.2045317054685625,0.0054004994944850315,Macrophage,2.2675660702388067
GOMF ATP DEPENDENT ACTIVITY,2.132412773829226,0.014999829966282097,Macrophage,1.8239136639525828
GOMF NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,-1.9726696888886983,0.031457557768427,Macrophage,1.50227499718847
GOMF CELL ADHESION MOLECULE BINDING,2.269726287992662,0.00721021835711714,Fibroblasts,2.142051582734789
GOMF ENZYME INHIBITOR ACTIVITY,2.1819887959410935,0.025046909775463286,T cells,1.601245848649078
GOMF STRUCTURAL CONSTITUENT OF RIBOSOME,2.139160787678361,0.025046909775463286,T cells,1.601245848649078
GOMF ELECTRON TRANSFER ACTIVITY,2.093467328441693,0.04263627019877437,T cells,1.3702207942005251
GOMF STRUCTURAL CONSTITUENT OF RIBOSOME,2.5847831152149,6.175381341394317e-5,Neutrophils,4.2093362187404155
GOMF RNA BINDING,2.082186804377796,7.722863869743033e-4,Neutrophils,3.1122216203656263
GOMF PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,2.3381579052045294,8.548802620462433e-4,Neutrophils,3.0680947100369647
GOMF ACTIVE TRANSMEMBRANE TRANSPORTER ACTIVITY,2.3264831260560364,8.548802620462433e-4,Neutrophils,3.0680947100369647
GOMF ELECTRON TRANSFER ACTIVITY,2.2823897337450125,8.548802620462433e-4,Neutrophils,3.0680947100369647
GOMF STRUCTURAL MOLECULE ACTIVITY,2.209700262461413,8.548802620462433e-4,Neutrophils,3.0680947100369647
GOMF TRANSPORTER ACTIVITY,1.9931099313255507,0.007745024476086744,Neutrophils,2.1109772054305833
GOMF PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,2.0279153133693466,0.014188000978711457,Neutrophils,1.848078790241752
