cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.2,Week12,ECenrichment_genes_circu,4.312293754046054e-4,-0.03301586935995617,-0.26590684718390284,0.0028748625026973696,2.54138292166923,neg_sig
EC2,Week12,ECenrichment_genes_circu,0.21584768760510153,-0.03935394538309847,-0.2567486894149575,0.34006354010391976,0.4684399284333074,not_sig
EC1.1,Week12,ECenrichment_genes_circu,0.0014654456999948651,-0.026757307292061175,-0.20433789013234493,0.00813257387984781,2.089771982707715,neg_sig
EC3,Week12,ECenrichment_genes_circu,0.36526532218741864,-0.023827317550727825,-0.18926386222710165,0.5038142374998879,0.2977295637528149,not_sig
EC1.3,Week12,ECenrichment_genes_circu,0.45604257510457197,-0.012535703211189915,-0.0738142537023805,0.5884420323929961,0.23029631319745278,not_sig
