Description,NES,p.adjust,cell_type,negLog_padjust
GOBP IMMUNE SYSTEM DEVELOPMENT,2.0250197728200545,9.823716321215774e-8,EC,7.007724187113883
GOBP NEUTROPHIL MIGRATION,2.5006527764944715,9.929266889259952e-8,EC,7.003082815724405
GOBP MONONUCLEAR CELL MIGRATION,2.460783691289632,1.9190131048916188e-7,EC,6.716922059468446
GOBP CELLULAR RESPONSE TO INTERFERON GAMMA,2.517254483702145,2.063509802160174e-7,EC,6.6853934637800405
GOBP GRANULOCYTE MIGRATION,2.4971698892315786,2.5319434541865693e-7,EC,6.596545997631368
GOBP TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,2.463722177354094,2.5319434541865693e-7,EC,6.596545997631368
GOBP REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,2.4631395329712014,2.5319434541865693e-7,EC,6.596545997631368
GOBP REGULATION OF DEFENSE RESPONSE,2.1389011786925827,2.5319434541865693e-7,EC,6.596545997631368
GOBP MYELOID LEUKOCYTE DIFFERENTIATION,2.4179355147715182,2.8290079126079756e-7,EC,6.548365837839165
GOBP REGULATION OF RESPONSE TO EXTERNAL STIMULUS,2.005127218526517,2.8417253457864803e-7,EC,6.546417899164866
GOBP MYELOID LEUKOCYTE MIGRATION,2.382163829335004,3.8326765615235633e-7,EC,6.416497829186136
GOBP NEGATIVE REGULATION OF CELL ACTIVATION,2.3969233357382578,4.289004630354882e-7,EC,6.367643484901872
GOBP POSITIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS,2.247193006272877,4.936123500228443e-7,EC,6.3066139829300925
GOBP MYELOID CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,2.53381343955873,6.062687900791803e-7,EC,6.217334788098969
GOBP REGULATION OF INFLAMMATORY RESPONSE,2.2797832516333143,6.285572190991842e-7,EC,6.201655181290791
GOBP LEUKOCYTE DEGRANULATION,2.5198741768955757,6.772335135731713e-7,EC,6.169261558537463
GOBP REGULATION OF B CELL ACTIVATION,2.4255677840241723,6.772335135731713e-7,EC,6.169261558537463
GOBP CYTOKINE MEDIATED SIGNALING PATHWAY,2.1928039942698594,1.018288074020414e-6,EC,5.9921293425698945
GOBP NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS,2.2171194024883487,1.1114188942265822e-6,EC,5.954122224440512
GOBP MONONUCLEAR CELL DIFFERENTIATION,2.2346182221928212,1.1272056943322314e-6,EC,5.947996825957235
GOBP MACROPHAGE ACTIVATION,2.4478011535903565,1.1470750396777333e-6,EC,5.940408170370771
GOBP ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN,2.4763172736703933,1.3086532681074952e-6,EC,5.8831754059279895
GOBP ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS PEPTIDE ANTIGEN,2.4763172736703933,1.3086532681074952e-6,EC,5.8831754059279895
GOBP POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS,1.8437369432654156,1.7800651802508346e-6,EC,5.74956409493549
GOBP ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II,2.4608921330664564,1.9576024968961586e-6,EC,5.708275489719032
GOBP NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION,2.3797983285217756,2.4045114167381447e-6,EC,5.618973156533777
GOBP TAXIS,2.0887443254637406,2.513731865613866e-6,EC,5.599681049440349
GOBP REGULATION OF LEUKOCYTE DIFFERENTIATION,2.2959255449504843,2.865361933029923e-6,EC,5.542820513106716
GOBP NEGATIVE REGULATION OF LEUKOCYTE PROLIFERATION,2.461900214165599,3.7695346948733155e-6,EC,5.423712255078182
GOBP PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,2.2779232340032145,4.059971453493301e-6,EC,5.39147702002722
GOBP POSITIVE REGULATION OF INTERLEUKIN 6 PRODUCTION,2.3784350841590225,4.371956358164875e-6,EC,5.35932418192425
GOBP REGULATION OF HEMOPOIESIS,2.175175669761412,5.09681638433272e-6,EC,5.292701011831632
GOBP MYELOID CELL DIFFERENTIATION,2.116522614717777,5.241770923106576e-6,EC,5.2805219625967075
GOBP REGULATED EXOCYTOSIS,2.3544454520593776,5.419119793981405e-6,EC,5.266071248454291
GOBP RESPONSE TO CHEMOKINE,2.4294545552439777,6.019842672733003e-6,EC,5.2204148587848245
GOBP POSITIVE REGULATION OF LEUKOCYTE MIGRATION,2.317374599592573,6.019842672733003e-6,EC,5.2204148587848245
GOBP LYMPHOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE,2.3062226178957315,6.945416704666096e-6,EC,5.158301692747381
GOBP REGULATION OF LEUKOCYTE MIGRATION,2.272293030461608,7.223171683161622e-6,EC,5.141272062536411
GOBP MICROGLIAL CELL ACTIVATION,2.449780407154394,8.030548116874599e-6,EC,5.095254811382569
GOBP POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION,2.4106323792910094,8.131090915405367e-6,EC,5.089851182972121
GOBP PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE,2.305700749522429,8.32368325433549e-6,EC,5.0796844545910655
GOBP REGULATION OF MYELOID CELL DIFFERENTIATION,2.222877913167204,9.73959354467515e-6,EC,5.011459166836784
GOBP B CELL PROLIFERATION,2.4030639694703524,1.1631420104022734e-5,EC,4.934367258127137
GOBP ANTIGEN PROCESSING AND PRESENTATION,2.3239118763610116,1.2718757921733242e-5,EC,4.895555298599239
