p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.432937126922809,0.764,0.254,0,Fibroblasts,Ccn2
0,1.4301843554923388,0.801,0.235,0,Fibroblasts,Ccdc80
0,1.4127134786685187,0.6,0.072,0,Fibroblasts,Tshz2
0,1.3970079278233523,0.415,0.012,0,Fibroblasts,Lsamp
0,1.3826195067326086,0.734,0.224,0,Fibroblasts,Zfpm2
0,1.3822992285417766,0.676,0.092,0,Fibroblasts,Col6a2
0,1.3791044883514876,0.869,0.269,0,Fibroblasts,Itgbl1
0,1.3786988447194493,0.374,0.006,0,Fibroblasts,Gfpt2
0,1.3687145878217755,0.495,0.007,0,Fibroblasts,Svep1
0,1.3659212854540583,0.506,0.025,0,Fibroblasts,Mdk
0,1.3605353879652147,0.77,0.206,0,Fibroblasts,Mxra7
0,1.360021290383227,0.955,0.488,0,Fibroblasts,Pmepa1
0,1.357488172484128,0.626,0.077,0,Fibroblasts,C1qtnf2
0,1.3520033369980595,0.796,0.244,0,Fibroblasts,Gpc6
0,1.3507633471295861,0.758,0.215,0,Fibroblasts,Copz2
0,1.3495819419057018,0.715,0.224,0,Fibroblasts,Ebf1
0,1.3460347256410037,0.968,0.749,0,Fibroblasts,Cyb5a
0,1.3380825714952207,0.723,0.144,0,Fibroblasts,Fkbp7
0,1.3276773807376212,0.469,0.007,0,Fibroblasts,Scara5
0,1.3245988106057045,0.939,0.336,0,Fibroblasts,Cavin3
0,1.3242454651273547,0.994,0.953,0,Fibroblasts,Nme2
0,1.3240134635095993,0.538,0.092,0,Fibroblasts,Ackr3
0,1.3228726370589088,0.586,0.141,0,Fibroblasts,Slit3
0,1.319650590506337,0.956,0.376,0,Fibroblasts,Nfib
0,1.3195745627943758,0.88,0.325,0,Fibroblasts,Fbln5
0,1.3156500469695063,0.995,0.879,0,Fibroblasts,Cd63
0,1.313737485363895,0.398,0.011,0,Fibroblasts,Gdf10
0,1.3107784207163904,0.673,0.14,0,Fibroblasts,Foxp2
0,1.310479652375358,0.749,0.244,0,Fibroblasts,Mgst1
0,1.308551356530574,0.59,0.014,0,Fibroblasts,Pdgfra
