cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.3,Week0,ECenrichment_genes_cytokine,0.11876153381162388,-0.18700562909476015,-0.5579547286086817,0.25002428170868185,0.6020178117279479,not_sig
EC1.2,Week0,ECenrichment_genes_cytokine,1.6275380189698685e-10,-0.12918100446129455,-0.5097772238675012,6.5101520758794735e-9,8.18640886627914,neg_sig
EC1.1,Week0,ECenrichment_genes_cytokine,1.23507147034103e-8,-0.027389545861086412,-0.27717468419194696,1.6467619604547067e-7,6.7833691735882145,neg_sig
EC2,Week0,ECenrichment_genes_cytokine,0.276648621606916,-0.01045563221590895,-0.06284108743306799,0.5029974938307563,0.2984341787973226,not_sig
EC3,Week0,ECenrichment_genes_cytokine,0.4728254352222248,0.009922655084002335,0.06768903678919186,0.6521730140996205,0.1856371755854049,not_sig
