cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.2,Week0,TNFA_NFkB_activation,5.327165044858281e-8,-0.08242310922147017,-0.4067938137261422,4.439304204048568e-7,6.352685093854338,significant
EC1.3,Week0,TNFA_NFkB_activation,0.6484480046401274,-0.05411596134529313,-0.23872971914702074,0.7048347876523123,0.15191266913545798,not significant
EC2,Week0,TNFA_NFkB_activation,0.2713321218927653,-0.027876278618538808,-0.23840740169777783,0.5257776741177581,0.2791978591070185,not significant
EC1.1,Week0,TNFA_NFkB_activation,0.07306847426331081,-0.012508774579033294,-0.11867885009070969,0.18267118565827703,0.7383299523547577,not significant
EC3,Week0,TNFA_NFkB_activation,0.5662710606640284,-0.009038030197181496,-0.06259780240388448,0.7048347876523123,0.15191266913545798,not significant
