cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.2,Week0,ECenrichment_genes_immuneprocess,1.5211196018084946e-5,-0.06628070592874069,-0.3467051079990408,6.76053156359331e-5,4.170019155233018,neg_sig
EC1.1,Week0,ECenrichment_genes_immuneprocess,1.2182650140158255e-8,-0.04248707960754561,-0.3226423425304866,1.6467619604547067e-7,6.7833691735882145,neg_sig
EC3,Week0,ECenrichment_genes_immuneprocess,0.33275426515502643,-0.03202487296282888,-0.20325011124984782,0.554590441925044,0.25602761953093234,not_sig
EC1.3,Week0,ECenrichment_genes_immuneprocess,0.9648403039253557,-0.015352262229373914,-0.058478469812096985,0.9895797988978006,0.004549178897085014,not_sig
EC2,Week0,ECenrichment_genes_immuneprocess,0.6385715331770746,-0.008023619104636517,-0.04210987976856788,0.720497782933475,0.14236735122922747,not_sig
