cell_type,time_point,gene_set,p_value,mean_diff,cohen_d,adjusted_p_value,log10_p,significance
EC1.1,Week12,Inflam_thrombogenesis,0.22104130106754782,-0.022329687445902656,-0.1268447244680576,0.3858361853569183,0.413597044800227,not significant
EC2,Week12,Inflam_thrombogenesis,0.5306822127291815,-0.0052567520125851586,-0.027545768577669636,0.698266069380502,0.15597906097894298,not significant
EC1.2,Week12,Inflam_thrombogenesis,0.231501711214151,0.023455889474253394,0.09349758496764374,0.3858361853569183,0.413597044800227,not significant
EC3,Week12,Inflam_thrombogenesis,0.8233024675076285,0.02567437371919737,0.1515231118985474,0.8576067369871131,0.06671181600853959,not significant
EC1.3,Week12,Inflam_thrombogenesis,0.02005335821446399,0.10243965154260581,0.30845705709028903,0.050133395536159975,1.2998728796144192,not significant
