p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.063856334506251,0.889,0.112,0,T cells,Ets1
0,4.831261507694157,0.608,0.002,0,B cells,Igkc
0,2.5453798573482787,0.561,0.035,0,B cells,Satb1
2.6669249458691105e-154,2.4694813797043946,0.606,0.233,5.153032380408296e-150,B cells,Bank1
2.4736457018631386e-168,2.379107574100433,0.629,0.233,4.779578225139956e-164,B cells,Ighm
0,2.346675272548794,0.629,0.003,0,B cells,Cd79a
6.0304417550419e-204,2.2717496138278266,0.677,0.233,1.1652019559091959e-199,B cells,Bach2
0,2.129228376649511,0.57,0.002,0,B cells,Ly6d
5.784289051473202e-144,2.0245979915825205,0.829,0.414,1.1176403305256522e-139,B cells,Ebf1
1.3146051636844406e-124,1.8378897374769887,0.561,0.225,2.540080097271076e-120,B cells,Aff3
6.993462106354122e-177,1.8147508569909554,0.432,0.093,1.3512767481897434e-172,B cells,Serpinb1a
4.44849224350876e-150,1.7898425259818114,0.912,0.465,8.595376712907627e-146,B cells,Arhgap15
0,1.779196566240141,0.525,0.03,0,B cells,Cd79b
2.3748498790353967e-7,1.657765142443806,0.128,0.25,0.0045886849362721934,B cells,Gng11
0,1.603825365662367,0.576,0.102,0,B cells,Ripor2
3.5263394241657394e-104,1.5928647360272052,0.771,0.458,6.813593035373041e-100,B cells,Btg1
0,1.5390294223074217,0.424,0.001,0,B cells,Iglc2
4.167547270819923e-121,1.537173048281154,0.897,0.565,8.052534836678256e-117,B cells,Stk17b
3.419093873583315e-240,1.5266130100421285,0.565,0.126,6.606373182537681e-236,B cells,Ets1
4.825788699211398e-93,1.524818149197801,0.525,0.224,9.324388924616263e-89,B cells,Myo1e
3.6368883715774064e-107,1.5131035372130615,0.82,0.452,7.027195711561865e-103,B cells,Rel
0,7.169586449059811,0.96,0.001,0,Neutrophils,S100a9
0,5.802334735549044,0.96,0.001,0,Neutrophils,S100a8
0,5.003085325864794,0.984,0.072,0,Neutrophils,Il1b
0,4.194310938110771,0.969,0.036,0,Neutrophils,Slc7a11
0,3.9914582371113365,0.77,0,0,Neutrophils,Retnlg
0,3.8545256337105114,0.901,0.007,0,Neutrophils,Acod1
4.162748936883159e-178,3.8204855698163236,0.653,0.194,8.04326349584564e-174,Neutrophils,G0s2
3.1140323930267374e-283,3.761513165270756,1,0.63,6.016933389806262e-279,Neutrophils,Srgn
0,3.7586076747623505,0.979,0.087,0,Neutrophils,Clec4d
0,3.5153197368525304,0.897,0.042,0,Neutrophils,Clec4e
0,3.46610487863031,0.965,0.296,0,Neutrophils,Msrb1
0,3.4488586959743053,0.958,0.119,0,Neutrophils,Mxd1
0,3.283182282488204,0.836,0.028,0,Neutrophils,Slpi
0,3.1553139747984957,0.925,0.02,0,Neutrophils,Hcar2
0,3.106396053899782,0.941,0.093,0,Neutrophils,Csf3r
0,3.018744615945361,0.939,0.022,0,Neutrophils,Il1r2
0,2.9672500526046246,0.939,0.093,0,Neutrophils,Lmnb1
0,2.8836622352033623,0.704,0.02,0,Neutrophils,Ifitm1
0,2.86109575323009,0.901,0.139,0,Neutrophils,Rnf149
1.4421249992098937e-238,2.7442737667941977,1,0.819,2.7864739234733565e-234,Neutrophils,S100a11
